Station Index,Date,temp-max,temp-min,temp-avg,wind-max,wind-min,wind-avg,rain-max,rain-min,rain-avg,rh-max,rh-min,rh-avg,Temp-max-lag1,Temp-min-lag1,Temp-avg-lag1,Wind-max-lag1,Wind-min-lag1,Wind-avg-lag1,Rain-max-lag1,Rain-min-lag1,Rain-avg-lag1,Rh-max-lag1,Rh-min-lag1,Rh-avg-lag1,Temp-max-lag2,Temp-min-lag2,Temp-avg-lag2,Wind-max-lag2,Wind-min-lag2,Wind-avg-lag2,Rain-max-lag2,Rain-min-lag2,Rain-avg-lag2,Rh-max-lag2,Rh-min-lag2,Rh-avg-lag2
42807,26-01-2019,29.3,16.8,22,10,0,3.041666667,0,0,0,85,36,65.45833333,29.3,15.9,21.4,8,0,1.791666667,0,0,0,88,36,65.95833333,29.5,14.8,21.1,6,0,0.791666667,0,0,0,92,35,69.75
42807,27-01-2019,27.2,18.4,22.2,8,0,2.75,0,0,0,84,42,66.95833333,29.3,16.8,22,10,0,3.041666667,0,0,0,85,36,65.45833333,29.3,15.9,21.4,8,0,1.791666667,0,0,0,88,36,65.95833333
42807,28-01-2019,23.5,18.7,20.9,9,0,3.625,0,0,0,81,57,70.95833333,27.2,18.4,22.2,8,0,2.75,0,0,0,84,42,66.95833333,29.3,16.8,22,10,0,3.041666667,0,0,0,85,36,65.45833333
42807,29-01-2019,23.6,14.5,19.3,14,0,4.458333333,0,0,0,75,32,56.91666667,23.5,18.7,20.9,9,0,3.625,0,0,0,81,57,70.95833333,27.2,18.4,22.2,8,0,2.75,0,0,0,84,42,66.95833333
42807,30-01-2019,24.4,12.6,17.4,8,0,3.125,0,0,0,80,27,54.83333333,23.6,14.5,19.3,14,0,4.458333333,0,0,0,75,32,56.91666667,23.5,18.7,20.9,9,0,3.625,0,0,0,81,57,70.95833333
42807,31-01-2019,25.9,12.2,18.4,8,0,2.083333333,0,0,0,89,35,64.83333333,24.4,12.6,17.4,8,0,3.125,0,0,0,80,27,54.83333333,23.6,14.5,19.3,14,0,4.458333333,0,0,0,75,32,56.91666667
42807,01-02-2019,27.7,13.2,19.4,5,0,0.909090909,0,0,0,90,34,65.75,25.9,12.2,18.4,8,0,2.083333333,0,0,0,89,35,64.83333333,24.4,12.6,17.4,8,0,3.125,0,0,0,80,27,54.83333333
42807,02-02-2019,29,13.9,20.4,6,0,1.8,0,0,0,91,29,63.54166667,27.7,13.2,19.4,5,0,0.909090909,0,0,0,90,34,65.75,25.9,12.2,18.4,8,0,2.083333333,0,0,0,89,35,64.83333333
42807,03-02-2019,29.6,14.6,20.7,14,0,2.041666667,0,0,0,93,26,59.58333333,29,13.9,20.4,6,0,1.8,0,0,0,91,29,63.54166667,27.7,13.2,19.4,5,0,0.909090909,0,0,0,90,34,65.75
42807,04-02-2019,28.7,14.8,20.7,10,0,1.541666667,0,0,0,86,25,60.04166667,29.6,14.6,20.7,14,0,2.041666667,0,0,0,93,26,59.58333333,29,13.9,20.4,6,0,1.8,0,0,0,91,29,63.54166667
